review,score,score_predict
rekord nad rekordy gratulacje,10,3
marzeniom recenzja v ppiylibnooe,8,8
wszyscy chodzmy la la land fb powstalo wydarzenie ktorym mozecie zaprosic znajomych oceny aktorow i samego filmu niskie niech idzie i przekona dobry la la land musical przypadnie kazdemu ale widzialem dawno pieknego filmu idzcie koniecznie a chociaz zapraszajcie znajomych ktorzy takie kino lubia ogladanie w domu,10,7
wszyscy chodzmy la la land fb powstalo wydarzenie ktorym mozecie zaprosic znajomych oceny aktorow i samego filmu niskie niech idzie i przekona dobry la la land musical przypadnie kazdemu ale widzialem dawno pieknego filmu idzcie koniecznie a chociaz zapraszajcie znajomych ktorzy takie kino lubia ogladanie w domu,10,7
przedpremiera trojmiasto hej ktos z trojmiasta i zainteresowany zobaczeniem przedpremierowo oprocz sylwestrow la la landu bedzie okazja stycznia odbeda pokazy w gdynskim centrum filmowym bilety zl rezerwacje stycznia,10,5
kolejny zwiastun v lu rhvoujh,8,8
teaser trailer v vdmf m fxd feature yout u be,10,8
obejrzalem i kibicowalem przegranej te oskary lll wybor trumpa hollywood i usa schodza psy oskar casey afflecka tez porazka jednej minie przejechal przez caly nudnawy film kilku lat w moim menu coraz mniej filmow amerykanskich,6,10
muzyka odplynalem pontonie przyjemnosci czarujaca,8,8
ryan gosling spodziewalam rayan dostanie oscara przynajmniej bardziej podobalo gra gosling szkoda dobry aktor,8,3
wielkie magiczne kino usmiech z twarzy schodzi pierwszej ostatniej sceny przepiekna zabawa uczta osob wrazliwych i marzycieli choc wiadomo lubi w kinie magie,9,8
polowa widowni wyszla ogladajac pierwsza scene myslimy bedzie dobry thriller samochodowy niestety dostajemy nedzna historie zydowskiego chlopca i prostytutki nigdzie wprost wylozone ale tez glowni bohaterowie temu zaprzeczaja dodatkowo pewien czas seans przerywa piosenka marnej aranzacji gdybym chcial zobaczyc kupe poszedlbym teatru jandy no takie zycie ps w koncowych,5,7
perfekcyjna pierwsza scena autostradzie ktos orientuje zostala zrealizowana kamera podaza za kolejnymi aktorami z lewej z prawej z przodu z tylu z gory obraca w kazda strone no ale wysiegnik kamery zaczepiony podloza skoro cala akcja dzieje dlugim moscie autostrady wypelnionej brzegi samochodami wyglada tego mostu wcale a zostal,10,5
piekny muzyka porywajaca aktorzy wysmienici historia porywajaca zastanawiajaca stawiajaca pytania zachecajaca dyskusji z tych filmow ktore chcialoby ogladac konca za kochamy kino prawda,9,9
skoro wybrali trumpa prezydenta i nominowali dziadostwo najwazniejszych nagrod filmowych bylismy cala rodzina i zgodnie dajemy max banalne sceny gra aktorska z taniego serialu paradokumentalnego a spiew glownej pary rzeczywiscie kurczaki patyku,4,8
bla bla land mega rozczarowana film hype spodziewalam czegos magicznego porywajacego ale przede wszystkim oryginalnego a moglam zniesc pewnych scen tego filmu niesamowity potencjal fabula jako taka niezla wizualnie tez fajnie ale jednak film a w filmie cenie sobie napiecie ktore utrzymywane przez czas ogladania czasu filmy z nudnymi,6,7
za badziew uwaga spoiler temat zawierac tresci zdradzajace fabule,2,7
ta ocena z najslabszych musicali jakie kiedykolwiek widzialem a troche tego bylo historia historia ale przedstawienie przypomnialo high school musical,5,7
mniej musical musicale lubie uogolniac ale wyglada polubie te forme widowiska przez forme przez ciarki zazenowania przy kazdej jednej piosence przez czesto w tych zasranych pioseneczkach zawarta jakas kluczowa filmu tresc za wielkie finalowe choreografie wiem estetyka w la la landzie z tego a seansie i umieralem w,4,7
ale nudy film aktorsko ok ale poza tym bardziej zaczal interesowac sufit w kinie film,5,10
chyba rozczarowanie roku poczatku bylam sceptycznie nastawiona tego filmu oraz fanka goslinga ale znalazlam w internecie i stwierdzilam zobacze w takiego wspanialego tyle pozytywnych opinii i nominacji dwoch minutach czulam bedzie trudne i z kazda kolejna minuta mialam ochote odpoczac ogladalam kilka musicali w swoim zyciu i niektore z takie grease mamma,4,6
nuda nuda nuda o whiplash petarda film chazellea przyrownac mozna misy wystyglego budyniu wtornosc mialkosc wysilona pseudoromantycznosc nuzy w trakcie seansu irytuje wreszcie zaczyna smieszyc pomiedzy glownymi bohaterami brakuje chemii perypetie i problemy schematyczne odrysowane z elementarza poczatkujacego filmowca istnial nawiazania klasyki,1,10
wogole stalo uwaga spoiler temat zawierac tresci zdradzajace fabule,8,10
la la land re re rewelacja film da okreslic innym slowem czarujacy la la land przede wszystkim pieknie opowiedziana i zagrana historia dwoch marzycieli ktorych drogi wzajemnie caly czas przeplataja muzyk uwieziony w schemacie utworow ktore musi a chce grac przyslowiowego kotleta w eksluzywnej restauracji poczatkujaca aktorka ktora z kazdym kolejnym,9,10
wszystkich ktorzy cierpia musicali w tytule ogladal ktos la la land pomimo tego cierpi musicali romansow naleze wlasnie tej grupy widzow a wiem wybrac z jednej strony ogromny hype a z drugiej no trawie tego gatunku czekam opnie,9,9
slaby lubie romansow ale film prawde okropny w tej wypowiedzi biore uwage gre aktorow ktora byla niczym zaskakujacym fabule o ktorej moge powiedziec mdle romansidlo poza tym czego przyczepic tez ocena,3,8
piosenka uwaga spoiler temat zawierac tresci zdradzajace fabule,9,10
mialam ochote wyjsc wiem czego spodziewalam ale z pewnoscia tego az wiem czego zaczac gosling uwielbiam ewidentnie zbyt dojrzaly grania rol w tego typu produkcjach pasowala swini siodlo stone ktora chyba osiadla laurach sprawiala wrazenie improwizowala zero gry aktorskiej czulam jakbym ogladala ujecia zza kulis badz te ktore wycieto zdjecia,2,9
zalatuje bollywood,3,8
petarda lalaland zdobyl tyle zlotych globow mozna by ulozyc w piramidki czekoladki zjedzonym jednym czubkiem mialoby mniej wiecej tyle samo sensu pojsc film z dziewczyna w sylwestra przede wszystkim musical czyli gosc idzie z panna i nagle zaczynaja siebie spiewac i mimo sylwester mozna towarzyszyc nawet dorabianiem w chorkach pam pam,5,7
swietna pierwsza przygoda z musicalem pierwszy raz w zyciu udalem kina musical i ostatni wsrod wiekszosci ludzi panuje przeswiadczenie musical taniec spiew taniec spiew itd lecz w tym filmie sceny taneczne zajmuja zbyt wiele czasu a te ktore potrafia wprowadzic w zachwyt prosta historia zostala zaprezentowana w fenomenalny sposob swietna muzyka gra aktorska i najwieksza,9,7
takie piekne och przyjemnosc sprawia ogladanie emmy stone w kolejnych kolorowych sukienkach gosling skutecznie opanowal rzucanie widza uroku chemia pomiedzy bohaterami sceny dopracowane musical pelna geba film o marzeniach milosci nieuchronnosci losu niby wyszedlem z kina lekko znudzony wcale lubie musicali ani wcale,6,9
cudowny film ale zakonczenie zle przybilo troche,10,10
la la cudo uwaga spoiler temat zawierac tresci zdradzajace fabule,10,7
ludzie czym zachwycac gratka fanow musicali ale przecietnego widza zniesienia wiekszosc daje wysokie oceny film stal modny w mediach powiem gatunek i bajka minut tyle wytrzymalem,1,7
porazka totalna film przecietny brak w glownego watku prostu leci sobie jakas opowiastka o dwojgu zakochanych w dodatku mozna tego nazwac musicalem w filmie przewijaja trzy piosenki ktore kilka scen powtarzane tylko w innej aranzacji naprawde wiem za film dostal tyle zlotych globow serdecznie polecam i pozdrawiam,4,5
recenzja la la land zapraszam przeczytania mojej recenzji filmu wordpress com la la land recenzja,10,10
przynajmniej zerwala z goslingiem chociaz tyle dobrego z tego filmu,7,8
jednak emma watson zagrala glowna role ocenilbym film oczko wyzej uwielbiam oczywiscie emme stone ale w filmie patrzy i goslinga rodzenstwo pare dobrych przyjaciol a pare zakochanych mimo przyjemnie ogladalo,8,7
najbardziej przereklamowany film roku jedynie ostatnie minut warte uwagi przez minut mozna umrzec z nudow scenariusz pisany kolanie zero chemii pomiedzy bohaterami nuda zakonczenie calosciowa ocena gwiazdek pozdrawiam,5,3
plakat gorszy j w,6,8
zzzzzz za kaszanka ale ktos zasnac polecam te arcydzielo sen genialny film jednym slowem usypiacz ludzi,1,10
oskary pewnie dostanie wiadomo przemysl filmowy ale prawde dobrze oceniacie moim zdaniem kiepski film o grze aktorow pisano dodaje poza wyjatkowego wyjatkowa byla cathy bates w misery jack nicholson w wielu rolach kate winslet w lektorze lisa minelli w kabarecie clint w gran torino wybitnych filmow filmweb cala lista wystarczy,3,8
powrot klasyki musicalu pytaja niektorzy cos napisze o tym musicalu tworca whiplash chazelle zaskoczyl pozytywnie kolejne romansidlo musical dopracowany w kazdym szczegole osobiscie uwielbiam taniec muzyke jazz swing i znalazly piosenki o niebanalnych tekstach nawiazanie klasyki musicali hollywood wiele slychac oddzielnie trabke sax,8,9
scena gdy parka zaczela latac w kosmisie byla zenujaca w kinie poczulem idiota ogladajacy takiego gowno film idiotyczny a ta powyzsza scena zniszczyla kompletnie filmidlo w kinie poczuc zazenowanie,5,8
majstersztyk doslownie chwila wyszedlem z kina arcydzielo ale partnerki kompletne dno chyba zeby ocenic wiarygodnie musialbym dac jako daje a kolezanka w kazdym razie gra aktorska muzyka scenografia najbardziej plus polecam emi,9,10
zly ale i najlepszy musical kostka przeznaczenia,6,7
bedzie cos film rozniesie reszte przecietniakow tylko nieliczne beda mialy szanse walczyc z o globy oscary,8,10
wysyp nagrod i nominacji niesmieszny zart hollywood uwielbia takie historie mlodzi spelniaja marzenia za pomoca ciezkiej pracy pelnej wyrzeczen a fabryka snow pozwala opakowane w nostalgiczny a raczej konserwatywny musical z ery z ktorej akademicy prostu dumni dziwota wszyscy filmem zachwycili jednak o w przypadku nominacji oskarowych w kategoriach,6,7
film cudowny muzyka zdjecia aktorzy historia cos niesamowitego pomimo poznej godziny ogladania odczulam zmeczenia gdyz bylam kompletnie oczarowana,10,10
hej george michael mily akcent mysle z tego powodu teraz milo georgeowi wolno bylo odejsc ale odszedl osierocil nowy rok nadszedl mysle george by pogniewal gdybysmy przy muzyce byli,8,8
poczatkujaca aktorka i muzyk pragnacy otworzyc swoj klub jazzowy zakochuja w sobie w goracym hollywood uroczy film o marzycielach i marzycieli roztanczona rozspiewana i kolorowa bajka o krainie snow wiecej a land recenzja filmu html,8,10
podobne filmy dzien szaranczy johna schlesingera o poczatkujacym scenografie i aktorce rodzacym miedzy uczuciu i o poczatkach hollywoodu poruszajacy,8,8
za te siedem zlotych globow pytam jedynie muzyka oscarowa reszta nominacji komentarza,6,3
rewelacyjny powrot rezysera damien chazelle genialnym whiplashu powraca z rewelacyjnym musicalem o spelnianiu marzen wyjatkowy film albowiem zachwyca wielu plaszczyznach zarowno fabularnej aktorskiej no i przede wszystkim technicznej wzruszajacy piekny i godny polecenia wiecej o filmie w mojej recenzji zapraszam ogspot com la la land html,8,9
zapraszam glosowania la la land najlepszy film roku,9,10
zapraszam glosowania la la land najlepszy film roku,9,10
wpis zostal zablokowany z uwagi niezgodnosc z regulaminem,6,8
